team,off_rtg,def_rtg
atl,118.1,103.69999999999999
bos,109.5,119.3
brk,114.56666666666666,97.56666666666666
chi,103.73333333333333,116.40000000000002
cho,106.13333333333333,108.43333333333334
cle,113.96666666666665,101.23333333333333
dal,118.03333333333335,108.43333333333334
den,113.9,121.80000000000001
det,100.19999999999999,108.95
gsw,97.86666666666667,117.53333333333335
hou,117.5,119.4
ind,113.23333333333335,102.53333333333335
lac,107.56666666666668,119.30000000000001
lal,121.26666666666667,104.56666666666666
mem,108.9,119.19999999999999
mia,108.35,104.5
mil,119.66666666666667,114.53333333333335
min,103.96666666666668,110.2
nop,102.36666666666666,101.36666666666667
nyk,108.40000000000002,113.23333333333333
okc,104.7,102.8
orl,115.56666666666666,108.26666666666667
phi,105.5,104.5
pho,108.53333333333335,102.76666666666667
por,110.6,119.8
sac,106.69999999999999,110.53333333333335
sas,110.03333333333335,105.73333333333333
tor,102.35,111.44999999999999
uta,115.55,107.85
was,108.0,115.3
