away_team_x,total,team,money_line,away_money_line,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,away_fg,away_fga,away_fg_pct,away_fg3,away_fg3a,away_fg3_pct,away_ft,away_fta,away_ft_pct,away_orb,away_drb,away_trb,away_ast,away_stl,away_blk,away_tov,away_pf,away_pts,ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_usg_pct,away_off_rtg,away_def_rtg,away_score,date
cle,217,cho,-154,+139,240,45,90,.500,16,44,.364,8,15,.533,8,24,32,29,10,4,15,17,114,46,87,.529,14,30,.467,15,20,.750,10,40,50,34,12,3,18,22,121,.590,.589,.489,.167,16.7,70.6,39.0,64.4,9.8,7.0,13.4,100.0,112.3,119.2,114,.632,.609,.345,.230,29.4,83.3,61.0,73.9,11.8,6.5,15.8,100.0,119.2,112.3,121,20201223
phi,230½,was,+254,-295,240,39,85,.459,13,27,.481,16,23,.696,5,35,40,28,7,4,19,26,107,41,87,.471,8,28,.286,23,30,.767,10,37,47,22,11,8,16,25,113,.562,.535,.318,.271,11.9,77.8,46.0,71.8,6.6,6.8,16.6,100.0,101.2,106.9,107,.564,.517,.322,.345,22.2,88.1,54.0,53.7,10.4,13.8,13.8,100.0,106.9,101.2,113,20201223
ind,215½,nyk,+257,-298,240,39,85,.459,12,28,.429,17,23,.739,5,35,40,25,8,8,16,27,107,46,94,.489,8,34,.235,21,29,.724,10,40,50,28,6,9,13,24,121,.562,.529,.329,.271,11.1,77.8,44.4,64.1,7.6,13.3,14.4,100.0,101.0,114.2,107,.567,.532,.362,.309,22.2,88.9,55.6,60.9,5.7,15.8,10.9,100.0,114.2,101.0,121,20201223
orl,218½,mia,-184,+165,240,42,83,.506,7,20,.350,16,19,.842,7,36,43,25,11,2,22,21,107,42,88,.477,10,28,.357,19,30,.633,11,30,41,23,15,3,17,19,113,.586,.548,.241,.229,18.9,76.6,51.2,59.5,10.5,3.3,19.4,100.0,102.0,107.7,107,.558,.534,.318,.341,23.4,81.1,48.8,54.8,14.3,4.8,14.4,100.0,107.7,102.0,113,20201223
bos,223½,mil,-185,+165,240,46,90,.511,14,35,.400,15,18,.833,11,41,52,19,4,6,16,20,121,48,101,.475,18,40,.450,8,11,.727,10,27,37,23,8,6,6,17,122,.618,.589,.389,.200,28.9,80.4,58.4,41.3,4.0,9.8,14.0,100.0,121.1,122.1,121,.576,.564,.396,.109,19.6,71.1,41.6,47.9,8.0,10.9,5.4,100.0,122.1,121.1,122,20201223
tor,228½,nop,+147,-164,240,42,80,.525,19,42,.452,10,20,.500,8,37,45,30,13,7,24,17,113,38,89,.427,14,46,.304,9,12,.750,7,28,35,26,10,5,20,22,99,.636,.644,.525,.250,22.2,84.1,56.3,71.4,12.5,16.3,21.3,100.0,108.6,95.2,113,.525,.506,.517,.135,15.9,77.8,43.8,68.4,9.6,13.2,17.5,100.0,95.2,108.6,99,20201223
chi,234½,atl,-118,+107,240,43,80,.538,14,35,.400,24,29,.828,8,38,46,24,6,3,21,29,124,36,87,.414,8,35,.229,24,28,.857,8,29,37,20,10,3,15,22,104,.668,.625,.438,.363,21.6,82.6,55.4,55.8,5.8,5.8,18.5,100.0,119.4,100.1,124,.524,.460,.402,.322,17.4,78.4,44.6,55.6,9.6,6.7,13.1,100.0,100.1,119.4,104,20201223
mem,229½,sas,+108,-120,240,48,95,.505,10,25,.400,25,29,.862,8,40,48,28,8,8,10,18,131,49,95,.516,10,27,.370,11,18,.611,5,37,42,27,6,8,11,20,119,.608,.558,.263,.305,17.8,88.9,53.3,58.3,7.4,11.8,8.5,100.0,121.6,110.5,131,.578,.568,.284,.189,11.1,82.2,46.7,55.1,5.6,11.4,9.7,100.0,110.5,121.6,119,20201223
min,224½,det,+182,-206,240,45,93,.484,8,35,.229,3,8,.375,7,37,44,29,5,2,12,20,101,38,88,.432,11,41,.268,24,28,.857,12,36,48,25,6,5,11,16,111,.523,.527,.376,.086,16.3,75.5,47.8,64.4,5.1,4.3,11.1,100.0,102.6,112.7,101,.553,.494,.466,.318,24.5,83.7,52.2,65.8,6.1,8.6,9.9,100.0,112.7,102.6,111,20201223
den,226½,sac,+266,-311,265,45,102,.441,10,31,.323,24,31,.774,18,36,54,27,5,7,14,29,124,47,98,.480,8,29,.276,20,24,.833,10,36,46,28,6,11,15,25,122,.536,.490,.304,.304,33.3,78.3,54.0,60.0,4.6,10.1,10.8,100.0,113.3,111.5,124,.562,.520,.296,.245,21.7,66.7,46.0,59.6,5.5,15.5,12.1,100.0,111.5,113.3,122,20201223
