ts_pct,efg_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,teams,score,away_ts_pct,away_efg_pct,away_fg3a_per_fga_pct,away_fta_per_fga_pct,away_orb_pct,away_drb_pct,away_trb_pct,away_ast_pct,away_stl_pct,away_blk_pct,away_tov_pct,away_usg_pct,away_off_rtg,away_def_rtg,away_teams,away_score,date
.551,.515,.441,.196,28.1,69.8,48.2,69.8,3.5,14.3,14.6,100.0,108.1,115.2,nop,122,.543,.476,.388,.369,30.2,71.9,51.8,54.8,6.2,5.3,11.8,100.0,115.2,108.1,tor,130,20191022
.490,.449,.438,.202,14.8,86.7,47.5,64.7,8.6,13.0,14.2,100.0,90.9,99.5,orl,95,.530,.447,.459,.353,13.3,85.2,52.5,57.6,8.6,4.0,14.0,100.0,99.5,90.9,tor,104,20191028
.576,.545,.341,.261,26.2,91.2,55.3,73.2,4.9,1.7,16.9,100.0,110.0,121.6,det,113,.685,.669,.314,.140,8.8,73.8,44.7,58.8,11.7,3.4,13.3,100.0,121.6,110.0,tor,125,20191030
.576,.547,.463,.221,25.5,93.9,53.8,54.8,7.8,14.3,11.8,100.0,117.5,121.4,sac,120,.683,.641,.372,.372,6.1,74.5,46.3,65.1,9.8,7.8,13.4,100.0,121.4,117.5,tor,124,20191106
.542,.519,.577,.308,19.6,63.6,41.1,78.8,3.1,14.8,17.7,100.0,100.1,137.6,cho,96,.637,.619,.443,.155,36.4,80.4,58.9,80.0,13.5,6.1,8.8,100.0,137.6,100.1,tor,132,20191118
.469,.434,.352,.308,30.2,73.0,47.8,74.3,9.5,13.3,9.6,100.0,102.9,119.9,orl,97,.592,.569,.310,.218,27.0,69.8,52.2,57.8,5.3,8.5,10.3,100.0,119.9,102.9,tor,113,20191120
.505,.494,.455,.182,30.4,82.2,56.0,69.4,7.5,6.0,14.4,100.0,102.4,107.7,phi,96,.539,.518,.405,.262,17.8,69.6,44.0,71.1,5.3,10.4,9.6,100.0,107.7,102.4,tor,101,20191125
.497,.443,.466,.273,30.0,63.8,46.4,57.6,6.2,7.5,15.4,100.0,102.0,131.1,nyk,98,.621,.601,.436,.181,36.2,70.0,53.6,56.5,6.2,8.5,10.6,100.0,131.1,102.0,tor,126,20191127
.535,.494,.389,.322,29.4,83.7,54.3,55.3,4.8,5.6,14.9,100.0,105.7,124.9,uta,110,.655,.628,.400,.233,16.3,70.6,45.7,76.6,13.5,14.5,12.4,100.0,124.9,105.7,tor,130,20191201
.559,.530,.384,.212,20.4,83.3,53.4,64.4,3.8,14.6,9.2,100.0,113.6,103.3,mia,121,.515,.445,.473,.396,16.7,79.6,46.6,71.4,4.7,6.6,9.3,100.0,103.3,113.6,tor,110,20191203
.559,.520,.561,.194,37.7,73.9,54.5,72.5,10.7,4.1,17.1,100.0,116.2,106.4,hou,119,.553,.500,.443,.273,26.1,62.3,45.5,71.1,13.7,11.6,14.7,100.0,106.4,116.2,tor,109,20191205
.572,.512,.465,.314,27.3,71.7,51.5,76.3,8.0,9.6,15.5,100.0,112.3,92.2,lac,112,.465,.398,.409,.284,28.3,72.7,48.5,67.7,10.0,17.4,15.4,100.0,92.2,112.3,tor,92,20191211
.470,.446,.455,.168,24.1,82.1,53.6,61.5,3.6,12.1,15.6,100.0,93.0,100.3,brk,102,.505,.459,.408,.255,17.9,75.9,46.4,55.3,9.1,18.2,9.2,100.0,100.3,93.0,tor,110,20191214
.580,.556,.389,.189,20.5,83.3,48.8,68.2,6.2,1.8,9.3,100.0,117.1,137.9,cle,113,.689,.674,.360,.191,16.7,79.5,51.3,59.6,7.3,3.6,6.8,100.0,137.9,117.1,tor,133,20191216
.584,.540,.448,.368,18.2,83.8,48.1,60.0,5.7,2.1,11.4,100.0,112.7,116.6,was,118,.627,.564,.385,.564,16.2,81.8,51.9,68.4,5.7,6.3,14.9,100.0,116.6,112.7,tor,122,20191220
.525,.472,.511,.300,27.5,73.6,51.0,77.1,5.9,6.7,14.3,100.0,106.0,108.9,dal,107,.511,.447,.362,.330,26.4,72.5,49.0,56.8,11.9,11.4,8.5,100.0,108.9,106.0,tor,110,20191222
.601,.576,.359,.152,32.5,82.1,57.0,56.5,7.1,5.3,16.2,100.0,119.0,102.9,bos,118,.569,.525,.288,.275,17.9,67.5,43.0,44.7,13.1,11.9,15.9,100.0,102.9,119.0,tor,102,20191225
.556,.500,.423,.295,19.0,81.4,50.6,44.1,8.5,14.0,16.2,100.0,104.5,103.5,okc,98,.549,.512,.482,.145,18.6,81.0,49.4,60.0,7.5,4.4,13.7,100.0,103.5,104.5,tor,97,20191229
.516,.483,.437,.184,18.6,76.7,47.7,56.8,5.2,8.9,13.0,100.0,101.3,122.2,cle,97,.616,.577,.464,.298,23.3,81.4,52.3,72.5,5.2,14.3,10.4,100.0,122.2,101.3,tor,117,20191231
.536,.506,.398,.159,14.9,69.1,44.1,60.5,6.2,20.4,9.6,100.0,105.2,103.1,por,101,.474,.443,.438,.198,30.9,85.1,55.9,60.0,5.2,13.2,11.1,100.0,103.1,105.2,tor,99,20200107
.524,.477,.368,.345,19.6,84.0,53.1,63.2,6.0,10.4,9.9,100.0,104.3,103.3,sas,105,.516,.495,.500,.115,16.0,80.4,46.9,76.9,7.0,5.5,9.8,100.0,103.3,104.3,tor,104,20200112
.560,.534,.393,.258,27.7,81.1,51.2,47.5,8.2,6.3,20.8,100.0,101.7,128.3,was,111,.714,.692,.473,.176,18.9,72.3,48.8,67.3,14.7,3.7,16.2,100.0,128.3,101.7,tor,140,20200117
.517,.488,.548,.214,15.1,82.2,45.9,78.1,8.3,11.3,12.4,100.0,98.2,110.6,phi,95,.562,.541,.384,.244,17.8,84.9,54.1,67.5,6.2,5.3,11.2,100.0,110.6,98.2,tor,107,20200122
.553,.511,.511,.272,19.2,77.3,45.8,68.3,9.2,3.7,14.9,100.0,104.9,119.6,atl,114,.597,.562,.443,.278,22.7,80.8,54.2,54.2,9.2,13.3,9.9,100.0,119.6,104.9,tor,130,20200128
.503,.472,.533,.289,33.3,66.7,47.1,71.4,10.4,0.0,13.6,100.0,106.4,134.5,chi,102,.685,.655,.405,.274,33.3,66.7,52.9,59.6,6.3,11.9,13.7,100.0,134.5,106.4,tor,129,20200202
.663,.640,.476,.195,21.1,82.9,53.2,67.4,6.1,9.3,16.8,100.0,120.8,121.8,ind,118,.616,.570,.372,.279,17.1,78.9,46.8,62.8,12.3,0.0,9.4,100.0,121.8,120.8,tor,119,20200205
.575,.533,.478,.261,27.1,71.7,48.9,65.9,5.2,8.3,8.1,100.0,123.5,124.5,brk,118,.571,.547,.368,.221,28.3,72.9,51.1,48.9,6.3,10.4,6.3,100.0,124.5,123.5,tor,119,20200208
.621,.558,.465,.407,23.8,75.7,48.1,61.5,5.5,7.1,18.5,100.0,115.9,126.1,min,126,.691,.669,.371,.258,24.3,76.2,51.9,56.9,13.8,8.7,15.4,100.0,126.1,115.9,tor,137,20200210
.495,.446,.370,.250,19.6,77.4,41.5,76.3,11.5,7.0,14.3,100.0,96.9,113.2,pho,101,.658,.613,.463,.275,22.6,80.4,58.5,57.1,6.7,22.4,19.7,100.0,113.2,96.9,tor,118,20200221
.395,.368,.347,.179,20.3,73.0,40.6,74.2,12.5,8.3,14.2,100.0,77.9,122.1,ind,81,.636,.603,.478,.196,27.0,79.7,59.4,68.1,8.7,16.1,14.5,100.0,122.1,77.9,tor,127,20200223
.541,.464,.500,.429,19.0,83.3,55.2,71.9,9.7,25.6,11.5,100.0,105.0,94.3,mil,108,.484,.451,.571,.231,16.7,81.0,44.8,65.6,3.9,11.9,13.8,100.0,94.3,105.0,tor,97,20200225
.556,.519,.385,.321,26.2,77.0,56.3,67.6,3.2,15.4,16.0,100.0,104.7,101.6,cho,99,.445,.400,.453,.305,23.0,73.8,43.7,57.6,11.6,6.3,4.4,100.0,101.6,104.7,tor,96,20200228
.477,.415,.488,.402,15.4,82.1,44.0,58.6,7.9,24.0,15.0,100.0,90.9,105.7,lal,92,.561,.500,.405,.310,17.9,84.6,56.0,68.6,6.9,11.9,12.8,100.0,105.7,90.9,tor,107,20200801
.592,.573,.479,.167,18.8,82.7,52.0,57.4,7.6,3.9,12.0,100.0,116.2,95.3,bos,122,.518,.483,.427,.191,17.3,81.3,48.0,52.6,7.6,14.0,15.0,100.0,95.3,116.2,tor,100,20200807
.505,.484,.462,.176,22.2,86.5,51.2,64.9,13.3,9.4,18.3,100.0,94.1,102.7,mem,99,.631,.585,.549,.465,13.5,77.8,48.8,73.5,16.2,14.3,22.6,100.0,102.7,94.1,tor,108,20200809
.561,.506,.437,.264,19.1,71.1,44.6,75.0,8.9,20.0,13.4,100.0,108.2,116.2,den,109,.608,.600,.389,.156,28.9,80.9,55.4,60.0,7.9,10.2,16.5,100.0,116.2,108.2,tor,117,20200814
.620,.590,.462,.218,12.5,66.1,45.1,59.5,2.0,8.5,21.2,100.0,104.7,110.7,tor,106,.483,.445,.349,.147,33.9,87.5,54.9,50.0,9.9,19.0,7.2,100.0,110.7,104.7,bos,112,20191025
.567,.549,.549,.293,11.1,88.9,50.0,55.3,2.9,7.8,13.9,100.0,102.6,113.3,mil,105,.573,.538,.446,.228,11.1,88.9,50.0,61.0,3.9,10.8,8.2,100.0,113.3,102.6,bos,116,20191030
.499,.473,.409,.226,28.1,92.1,53.7,59.5,9.3,10.0,11.3,100.0,105.3,107.4,nyk,102,.599,.520,.459,.392,7.9,71.9,46.3,63.6,7.2,7.3,13.9,100.0,107.4,105.3,bos,104,20191101
.523,.478,.472,.315,26.5,76.7,50.0,59.5,2.2,9.8,5.6,100.0,114.4,125.2,dal,106,.598,.564,.407,.291,23.3,73.5,50.0,61.0,4.3,10.6,8.5,100.0,125.2,114.4,bos,116,20191111
.616,.578,.302,.281,20.9,73.0,45.0,56.0,4.8,6.7,6.9,100.0,127.0,133.6,was,133,.644,.594,.375,.302,27.0,79.1,55.0,65.3,4.8,7.5,9.2,100.0,133.6,127.0,bos,140,20191113
.596,.582,.595,.190,22.9,71.8,48.6,75.7,3.3,14.5,14.1,100.0,113.5,114.6,sac,102,.541,.488,.353,.271,28.2,77.1,51.4,52.6,11.1,12.5,10.4,100.0,114.6,113.5,bos,103,20191125
.559,.561,.622,.211,23.4,58.7,40.9,80.0,5.1,9.5,13.2,100.0,111.8,123.0,brk,110,.562,.510,.351,.247,41.3,76.6,59.1,53.5,10.2,14.7,11.5,100.0,123.0,111.8,bos,121,20191127
.550,.532,.494,.221,18.2,76.2,46.5,58.8,7.6,5.3,17.6,100.0,101.1,121.7,mia,93,.602,.544,.519,.405,23.8,81.8,53.5,60.0,8.7,20.5,9.7,100.0,121.7,101.1,bos,112,20191204
.472,.441,.319,.160,26.7,87.9,52.6,46.2,5.2,8.5,10.7,100.0,99.2,112.7,den,95,.631,.616,.427,.098,12.1,73.3,47.4,47.7,5.2,7.8,14.9,100.0,112.7,99.2,bos,108,20191206
.443,.434,.341,.209,34.6,84.4,53.6,50.0,8.4,3.9,15.3,100.0,92.7,115.8,cle,88,.675,.673,.346,.103,15.6,65.4,46.4,48.9,8.4,15.0,18.1,100.0,115.8,92.7,bos,110,20191209
.624,.585,.341,.280,25.0,80.4,57.7,65.9,4.3,13.3,10.7,100.0,124.5,118.0,phi,115,.553,.522,.341,.187,19.6,75.0,42.3,57.1,4.3,13.0,5.7,100.0,118.0,124.5,bos,109,20191212
