date,team,line,away_date,away_team,away_line,total
20191231,phi,+103,20191231,ind,-114,212½
20191231,bos,-105,20191231,cho,-105,210½
20191231,lac,-102,20191231,sac,-108,220
20191231,cle,-103,20191231,tor,-107,218½
20191231,gsw,-106,20191231,sas,-104,217
20191231,den,-108,20191231,hou,-102,225
20191231,dal,-109,20191231,okc,-101,217½
20191217,lal,-105,20191217,ind,-105,212
20191217,sac,-110,20191217,cho,-100,207
20191217,atl,-106,20191217,nyk,-104,225
20191217,brk,-102,20191217,nop,-108,228½
20191217,orl,-105,20191217,uta,-105,207½
20191217,pho,-105,20191217,lac,-105,225½
20200117,chi,+102,20200117,phi,-112,213½
20200117,was,+100,20200117,tor,-110,231
20200117,min,-108,20200117,ind,-102,217½
20200117,cle,-105,20200117,mem,-105,229½
20200117,mia,+101,20200117,okc,-112,216½
20200117,atl,-103,20200117,sas,-107,230
20200117,por,-107,20200117,dal,-103,228
20200304,ind,-110,20200304,mil,-100,220½
20200304,bos,-111,20200304,cle,+101,215½
20200304,okc,-105,20200304,det,-105,209½
20200304,uta,-103,20200304,nyk,-107,219½
20200304,mem,+104,20200304,brk,-115,223
20200304,orl,-102,20200304,mia,-108,218½
20200304,chi,-110,20200304,min,+100,231½
20200304,nop,+101,20200304,dal,-111,240½
20200304,was,-106,20200304,por,-104,244
20191206,orl,-107,20191206,cle,-103,210
20191206,ind,-115,20191206,det,+104,212
20191206,brk,+100,20191206,cho,-111,219½
20191206,was,-107,20191206,mia,-103,228½
20191206,den,-111,20191206,bos,+100,205½
20191206,gsw,-106,20191206,chi,-104,215
20191206,min,+103,20191206,okc,-114,218
20191206,sac,+104,20191206,sas,-114,215
20191206,lac,-107,20191206,mil,-103,234
20191206,lal,-101,20191206,por,-109,225
20200110,atl,-101,20200110,was,-109,238½
20200110,nop,-108,20200110,nyk,-102,226½
20200110,mia,-102,20200110,brk,-109,218½
20200110,sas,-103,20200110,mem,-107,231½
20200110,ind,-102,20200110,chi,-108,213½
20200110,orl,-102,20200110,pho,-108,217
20200110,cho,+102,20200110,uta,-112,210½
20200110,lal,+100,20200110,dal,-111,223
20200110,mil,-107,20200110,sac,-103,223½
20200110,gsw,-106,20200110,lac,-104,217
20191230,mia,+102,20191230,was,-113,224
20191230,atl,-101,20191230,orl,-109,209½
20191230,brk,-105,20191230,min,-105,216½
20191230,mil,-101,20191230,chi,-110,220½
20191230,det,-108,20191230,uta,-102,217½
20191230,pho,-111,20191230,por,+101,232½
20191126,lac,-112,20191126,dal,+102,225½
20191126,was,-101,20191126,den,-109,227½
20191203,det,+102,20191203,cle,-112,216½
20191203,orl,-110,20191203,was,-100,229½
20191203,mia,-106,20191203,tor,-104,212
20191203,dal,-100,20191203,nop,-110,234
20191203,hou,-101,20191203,sas,-109,234½
20191203,lal,-101,20191203,den,-109,208
20191203,por,+100,20191203,lac,-110,233
20200114,uta,-113,20200114,brk,+102,222½
20200114,pho,-107,20200114,atl,-103,230
20200114,hou,-105,20200114,mem,-105,240½
20200114,nyk,-115,20200114,mil,+104,229½
20200114,cle,-105,20200114,lac,-105,224
20200114,dal,+100,20200114,gsw,-110,224
20191201,mia,-107,20191201,brk,-103,215
20191201,bos,-105,20191201,nyk,-105,208½
20191201,mem,-100,20191201,min,-110,231
20191201,dal,-104,20191201,lal,-106,223
20191201,okc,-114,20191201,nop,+104,226½
20191201,sas,+102,20191201,det,-112,218
20191201,gsw,+102,20191201,orl,-112,204½
20191201,uta,-109,20191201,tor,-101,208
20191201,was,-103,20191201,lac,-107,240½
20200310,nyk,-102,20200310,was,-108,230
20200310,bos,-104,20200310,ind,-106,215½
20200310,cle,-107,20200310,chi,-103,217½
20200310,orl,-101,20200310,mem,-109,219
20200310,dal,-107,20200310,sas,-103,231½
20200310,min,+102,20200310,hou,-112,250½
20200310,pho,-105,20200310,por,-105,235
20200310,brk,-112,20200310,lal,+101,225½
20200310,lac,-104,20200310,gsw,-106,223
20200116,pho,-110,20200116,nyk,-100,226½
20200116,uta,-110,20200116,nop,+100,224½
20200116,bos,-115,20200116,mil,+104,227
20200116,den,-108,20200116,gsw,-102,213
20200116,orl,-110,20200116,lac,-101,217
20200730,uta,-106,20200730,nop,-106,228½
20200730,lac,-107,20200730,lal,-105,220
20191222,dal,-106,20191222,tor,-104,218½
20191222,cho,-114,20191222,bos,+104,208½
20191222,lac,-103,20191222,okc,-107,223½
20191222,ind,-109,20191222,mil,-101,221
20191222,den,-110,20191222,lal,-100,209
20191113,mem,-104,20191113,cho,-106,221
20191113,phi,-100,20191113,orl,-110,207½
20191113,was,-112,20191113,bos,+102,229½
20191113,lac,-104,20191113,hou,-106,233
20191113,sas,-110,20191113,min,-101,229
20191113,gsw,-110,20191113,lal,-100,219
20191113,tor,-101,20191113,por,-109,219
20200814,den,-114,20200814,tor,+102,223½
20200814,mia,-105,20200814,ind,-107,221
20200814,okc,-109,20200814,lac,-103,225
20200814,phi,+100,20200814,hou,-112,231½
20200812,ind,+100,20200812,hou,-113,232
20200812,tor,-107,20200812,phi,-105,222
20200812,mia,-106,20200812,okc,-106,221
20200812,lac,-114,20200812,den,+101,229
20200311,det,-113,20200311,phi,+102,209½
20200311,cho,-107,20200311,mia,-103,206½
20200311,nyk,-113,20200311,atl,+103,232
20200311,den,-109,20200311,dal,-101,220½
20200809,was,-111,20200809,okc,-102,221
20200809,mem,-114,20200809,tor,+101,221½
20200809,sas,-105,20200809,nop,-107,238½
20200809,orl,-113,20200809,bos,+101,222
20200809,phi,-104,20200809,por,-108,229½
20200809,hou,-109,20200809,sac,-103,235
20200809,brk,+102,20200809,lac,-115,230½
20191216,was,-110,20191216,det,-100,232
20191216,cle,+100,20191216,tor,-110,216½
20191216,mia,-113,20191216,mem,+102,216½
20191216,dal,-108,20191216,mil,-102,227
20191216,chi,+101,20191216,okc,-111,208½
20191216,sas,-104,20191216,hou,-106,232
20191216,por,-106,20191216,pho,-104,227
20191110,den,+100,20191110,min,-110,218½
20191110,ind,-105,20191110,orl,-105,202½
20191110,cho,-104,20191110,phi,-106,213½
20191110,mil,-101,20191110,okc,-109,220
20191110,cle,-107,20191110,nyk,-103,214
20191110,brk,-100,20191110,pho,-110,232
20191110,atl,-103,20191110,por,-107,226
20191110,tor,-101,20191110,lal,-109,210½
20191225,bos,-112,20191225,tor,+101,214
20191225,mil,-106,20191225,phi,-104,221
